GKA,Goroka Airport,Goroka,Papua New Guinea,-6.081689835,145.3919983
MAG,Madang Airport,Madang,Papua New Guinea,-5.207079887,145.7890015
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789856,144.2960052
LAE,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977
POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.443380356,147.2200012
WWK,Wewak International Airport,Wewak,Papua New Guinea,-3.583830118,143.6690063
UAK,Narsarsuaq Airport,Narssarssuaq,Greenland,61.16049957,-45.42599869
GOH,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.67810059
SFJ,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122219,-50.71160316
THU,Thule Air Base,Thule,Greenland,76.53119659,-68.70320129
AEY,Akureyri Airport,Akureyri,Iceland,65.66000366,-18.0727005
EGS,Egilsstaðir Airport,Egilsstadir,Iceland,65.28330231,-14.40139961
HFN,Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272
HZK,Húsavík Airport,Husavik,Iceland,65.952301,-17.426001
IFJ,Ísafjörður Airport,Isafjordur,Iceland,66.05809784,-23.13529968
KEF,Keflavik International Airport,Keflavik,Iceland,63.98500061,-22.60560036
PFJ,Patreksfjörður Airport,Patreksfjordur,Iceland,65.555801,-23.965
RKV,Reykjavik Airport,Reykjavik,Iceland,64.12999725,-21.94059944
SIJ,Siglufjörður Airport,Siglufjordur,Iceland,66.133301,-18.9167
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.42430115,-20.27890015
YAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061,-84.50939941
YAY,St. Anthony Airport,St. Anthony,Canada,51.39189911,-56.08309937
YAZ,Tofino / Long Beach Airport,Tofino,Canada,49.079833,-125.775583
YBB,Kugaaruk Airport,Pelly Bay,Canada,68.534401,-89.808098
YBC,Baie Comeau Airport,Baie Comeau,Canada,49.13249969,-68.20439911
YBG,CFB Bagotville,Bagotville,Canada,48.33060074,-70.99639893
YBK,Baker Lake Airport,Baker Lake,Canada,64.29889679,-96.07779694
YBL,Campbell River Airport,Campbell River,Canada,49.95080185,-125.2710037
YBR,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897
YCB,Cambridge Bay Airport,Cambridge Bay,Canada,69.10810089,-105.1380005
YCD,Nanaimo Airport,Nanaimo,Canada,49.05497022,-123.8698626
YCG,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.29639816,-117.6320038
YCH,Miramichi Airport,Chatham,Canada,47.007801,-65.449203
YCL,Charlo Airport,Charlo,Canada,47.990799,-66.330299
YCO,Kugluktuk Airport,Coppermine,Canada,67.816704,-115.143997
YCT,Coronation Airport,Coronation,Canada,52.07500076,-111.4449997
YCW,Chilliwack Airport,Chilliwack,Canada,49.15280151,-121.939003
YCY,Clyde River Airport,Clyde River,Canada,70.48609924,-68.51670074
YZS,Coral Harbour Airport,Coral Harbour,Canada,64.19329834,-83.35939789
YDA,Dawson City Airport,Dawson,Canada,64.04309845,-139.128006
YDB,Burwash Airport,Burwash,Canada,61.37110138,-139.0410004
YDF,Deer Lake Airport,Deer Lake,Canada,49.21080017,-57.39139938
YDL,Dease Lake Airport,Dease Lake,Canada,58.42219925,-130.0319977
YDN,Dauphin Barker Airport,Dauphin,Canada,51.10079956,-100.052002
YDQ,Dawson Creek Airport,Dawson Creek,Canada,55.74229813,-120.1829987
YEG,Edmonton International Airport,Edmonton,Canada,53.30970001,-113.5800018
YEK,Arviat Airport,Eskimo Point,Canada,61.09420013,-94.07080078
YEN,Estevan Airport,Estevan,Canada,49.21030045,-102.9660034
YET,Edson Airport,Edson,Canada,53.57889938,-116.4649963
YEU,Eureka Airport,Eureka,Canada,79.99469757,-85.81420136
YEV,Inuvik Mike Zubko Airport,Inuvik,Canada,68.30419922,-133.4830017
YFB,Iqaluit Airport,Iqaluit,Canada,63.756402,-68.555801
YFC,Fredericton Airport,Fredericton,Canada,45.8689003,-66.53720093
YFE,Forestville Airport,Forestville,Canada,48.74610138,-69.09719849
YFO,Flin Flon Airport,Flin Flon,Canada,54.67810059,-101.6819992
YFR,Fort Resolution Airport,Fort Resolution,Canada,61.18080139,-113.6900024
YFS,Fort Simpson Airport,Fort Simpson,Canada,61.7602005,-121.2369995
YGK,Kingston Norman Rogers Airport,Kingston,Canada,44.22529984,-76.59690094
YGL,La Grande Rivière Airport,La Grande Riviere,Canada,53.62530136,-77.70420074
YGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.77529907,-64.47859955
